",appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price"
"430,19000,1,0,0,480.0,437,58,73,17.99"
"431,19020,1,0,12,16.0,8,0,0,7.99"
"432,19030,1,0,16,70.0,22,0,0,11.99"
"433,19080,1,0,0,1.0,13,0,0,7.99"
"434,19200,1,0,27,226.0,190,39,63,3.99"
"435,19320,1,0,11,6.0,8,0,0,3.99"
"436,19500,1,0,4,16.0,47,9,9,2.99"
"437,19800,1,0,0,303.0,53,164,164,4.29"
"438,19830,1,0,0,811.0,71,43,61,4.29"
"439,19900,1,0,0,5292.0,1739,257,229,8.59"
"440,19980,1,0,0,948.0,266,305,399,8.59"
"441,20200,1,0,30,6.0,10,0,0,13.99"
"442,20510,1,0,0,5550.0,903,716,779,7.99"
"443,20530,1,0,0,1327.0,151,79,107,4.99"
"444,20540,1,0,0,1337.0,101,226,133,9.99"
"445,20550,1,0,0,354.0,313,0,0,4.99"
"446,20570,1,16,73,1645.0,164,186,249,14.99"
"447,20700,1,0,18,50.0,15,12,12,5.99"
"448,20710,1,0,13,55.0,12,14,14,5.99"
"449,20820,1,0,30,963.0,64,31,51,6.99"
"450,20900,1,0,0,26380.0,4217,773,335,6.99"
"451,20920,1,0,52,36427.0,4710,838,320,14.99"
"452,21000,1,0,0,1050.0,242,490,716,14.99"
"453,21010,1,0,0,227.0,120,0,0,3.99"
"454,21030,1,16,0,97.0,51,0,0,3.99"
"455,21090,1,18,0,6371.0,438,389,498,35.96"
"456,21100,1,18,50,5349.0,2030,310,298,12.99"
"457,21130,1,0,0,1672.0,460,518,989,9.99"
"458,21300,1,0,10,19.0,8,0,0,2.99"
"459,21400,1,0,92,10.0,5,0,0,4.79"
"460,21500,1,0,0,5.0,3,0,0,4.99"
"461,21640,1,0,13,110.0,34,0,0,3.49"
"462,21660,1,0,0,295.0,126,0,0,13.99"
"463,21670,1,0,0,649.0,247,20,30,6.49"
"464,21680,1,18,0,453.0,287,15,16,6.49"
"465,21690,1,18,70,9250.0,1618,868,532,13.99"
"466,21780,1,0,0,367.0,46,0,0,8.59"
"467,21800,1,0,0,276.0,108,384,655,8.59"
"468,21980,1,0,0,1121.0,232,13,13,8.59"
"469,22000,1,0,8,3455.0,237,194,277,6.99"
"470,22100,1,0,0,3205.0,291,415,597,7.99"
"471,22120,1,0,0,1396.0,79,188,189,0.0"
"472,22130,1,0,0,220.0,48,0,0,9.99"
"473,22180,1,0,0,1660.0,164,37,43,0.0"
"474,22200,1,0,22,1980.0,356,307,307,6.99"
"475,22230,1,0,19,2604.0,244,235,231,6.99"
